Well,Date,BS&W (%),Net Oil (bopd),Form.GLR (scf/bbl),Prod Method,Test Status,Tubing Pressure (psi),Flow Line Pressure (psi),Well Choke Size
Well_A,2025-01-01,4.94,199.26,819.37,Natural,Normal,1193.41,37.12,"12/64"""
Well_A,2025-02-01,5.26,202.6,793.61,Natural,Valid,1196.72,43.0,"12/64"""
Well_A,2025-03-01,5.51,194.73,801.46,Natural,OK,1202.77,41.26,"12/64"""
Well_A,2025-04-01,5.89,188.85,788.09,Natural,Producing,1192.44,39.75,"12/64"""
Well_A,2025-05-01,6.09,184.34,771.62,Natural,Active,1196.12,40.33,"12/64"""
Well_A,2025-06-01,6.5,190.77,772.94,Natural,Normal,1190.84,40.0,"12/64"""
Well_A,2025-07-01,6.31,175.69,763.8,Natural,Valid,1178.45,35.48,"12/64"""
Well_A,2025-08-01,6.85,179.41,764.68,Natural,OK,1172.65,44.11,"12/64"""
Well_A,2025-09-01,6.9,179.59,764.8,Natural,Producing,1187.1,45.18,"12/64"""
Well_A,2025-10-01,7.44,169.7,753.11,Natural,Active,1181.05,42.29,"12/64"""
Well_A,2025-11-01,7.46,167.13,746.88,Natural,Normal,1172.53,41.47,"12/64"""
Well_A,2025-12-01,7.85,167.58,746.38,Natural,Valid,1181.2,40.41,"12/64"""
Well_B,2025-01-01,6.98,253.97,757.07,ESP,Normal,1184.95,38.64,"16/64"""
Well_B,2025-02-01,7.27,238.87,735.27,ESP,Valid,1180.08,38.3,"16/64"""
Well_B,2025-03-01,7.43,241.78,734.44,ESP,OK,1184.68,40.96,"16/64"""
Well_B,2025-04-01,7.75,239.74,721.52,ESP,Producing,1178.72,41.59,"16/64"""
Well_B,2025-05-01,8.3,229.1,707.93,ESP,Active,1167.99,41.23,"16/64"""
Well_B,2025-06-01,8.39,225.07,714.91,ESP,Normal,1168.1,38.17,"16/64"""
Well_B,2025-07-01,8.64,218.81,716.95,ESP,Valid,1165.84,40.02,"16/64"""
Well_B,2025-08-01,9.16,219.54,702.39,ESP,OK,1164.22,35.99,"16/64"""
Well_B,2025-09-01,9.39,212.89,698.67,ESP,Producing,1142.81,38.74,"16/64"""
Well_B,2025-10-01,9.93,218.03,685.11,ESP,Active,1157.15,37.84,"16/64"""
Well_B,2025-11-01,9.91,207.69,695.52,ESP,Normal,1161.67,37.1,"16/64"""
Well_B,2025-12-01,10.14,205.55,678.28,ESP,Valid,1160.9,42.06,"16/64"""
Well_C,2025-01-01,9.02,295.85,700.2,Gas Lift,Normal,1154.33,41.64,"20/64"""
Well_C,2025-02-01,9.05,298.4,667.48,Gas Lift,Valid,1161.74,40.92,"20/64"""
Well_C,2025-03-01,9.89,293.29,695.45,Gas Lift,OK,1144.24,40.93,"20/64"""
Well_C,2025-04-01,10.14,290.75,676.96,Gas Lift,Producing,1151.35,39.79,"20/64"""
Well_C,2025-05-01,10.64,281.58,671.33,Gas Lift,Active,1149.54,39.02,"20/64"""
Well_C,2025-06-01,10.67,271.36,666.97,Gas Lift,Normal,1149.66,36.95,"20/64"""
Well_C,2025-07-01,10.98,271.4,654.07,Gas Lift,Valid,1140.17,42.82,"20/64"""
